,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,pdbid,path,sort
0,0,0,0,0,0,0,0,1a1g,../DATA/db/assemblies/1a1g-assembly1.cif,s
1,1,1,1,1,1,1,1,1a1j,../DATA/db/assemblies/1a1j-assembly1.cif,s
2,2,2,2,2,2,2,2,1a02,../DATA/db/assemblies/1a02-assembly1.cif,s
3,3,3,3,3,3,3,3,10mh,../DATA/db/assemblies/10mh-assembly1.cif,s
4,4,4,4,4,4,4,4,1a66,../DATA/db/assemblies/1a66-assembly1.cif,s
5,5,5,5,5,5,5,5,1a0a,../DATA/db/assemblies/1a0a-assembly1.cif,s
6,6,6,6,6,6,6,6,1a1k,../DATA/db/assemblies/1a1k-assembly1.cif,s
7,7,7,7,7,7,7,7,1a1v,../DATA/db/assemblies/1a1v-assembly1.cif,d
8,8,8,8,8,8,8,8,1a31,../DATA/db/assemblies/1a31-assembly1.cif,f
9,9,9,9,9,9,9,9,1a6b,../DATA/db/assemblies/1a6b-assembly1.cif,d
10,10,10,10,10,10,10,10,173d,../DATA/db/assemblies/173d-assembly1.cif,d
11,11,11,11,11,11,11,11,1a1i,../DATA/db/assemblies/1a1i-assembly1.cif,u
12,12,12,12,12,12,12,12,1a1f,../DATA/db/assemblies/1a1f-assembly1.cif,u
13,13,13,13,13,13,13,13,1a1h,../DATA/db/assemblies/1a1h-assembly1.cif,u
14,14,14,14,14,14,14,14,193d,../DATA/db/assemblies/193d-assembly1.cif,u
15,15,15,15,15,15,15,15,1a1l,../DATA/db/assemblies/1a1l-assembly1.cif,u
16,16,16,16,16,16,16,16,1a36,../DATA/db/assemblies/1a36-assembly1.cif,u
17,17,17,17,17,17,17,17,185d,../DATA/db/assemblies/185d-assembly1.cif,u
18,18,18,18,18,18,18,18,1a3q,../DATA/db/assemblies/1a3q-assembly1.cif,u
19,19,19,19,19,19,19,19,1a35,../DATA/db/assemblies/1a35-assembly1.cif,u
